Date,Microsoft,IBM,Johnson&Johnson,Walmart,JP Morgan
2000-01-01,48.9375,107.3135757446289,43.03125,54.75,53.79166793823242
2000-02-01,44.6875,98.23136138916016,36.0,48.75,53.08333206176758
2000-03-01,53.125,113.1692123413086,35.125,56.5,58.125
2000-04-01,34.875,106.5965576171875,41.25,55.375,48.08333206176758
2000-05-01,31.28125,102.59320831298828,44.75,57.625,49.79166793823242
2000-06-01,40.0,104.7442626953125,50.9375,57.625,46.0625
2000-07-01,34.90625,107.3135757446289,46.53125,55.25,49.8125
2000-08-01,34.90625,126.20996856689453,45.9765625,47.625,55.875
2000-09-01,30.15625,107.67208099365234,46.96875,48.125,46.1875
2000-10-01,34.4375,94.16825866699219,46.0625,45.375,45.5
2000-11-01,28.6875,89.38814544677734,50.0,52.1875,36.875
2000-12-01,21.6875,81.26194763183594,52.53125,53.125,45.4375
2001-01-01,30.53125,107.07456970214844,46.564998626708984,56.79999923706055,54.9900016784668
2001-02-01,29.5,95.5066909790039,48.665000915527344,50.09000015258789,46.65999984741211
2001-03-01,27.34375,91.95028686523438,43.73500061035156,50.5,44.900001525878906
2001-04-01,33.875,110.07648468017578,48.2400016784668,51.7400016784668,47.97999954223633
2001-05-01,34.59000015258789,106.88336181640625,48.474998474121094,51.75,49.150001525878906
2001-06-01,36.5,108.50860595703125,49.959999084472656,48.79999923706055,44.470001220703125
2001-07-01,33.095001220703125,100.58317565917969,54.099998474121094,55.900001525878906,43.29999923706055
2001-08-01,28.524999618530273,95.55449676513672,52.709999084472656,48.04999923706055,39.400001525878906
2001-09-01,25.584999084472656,87.6864242553711,55.400001525878906,49.5,34.150001525878906
2001-10-01,29.075000762939453,103.31739807128906,57.90999984741211,51.400001525878906,35.36000061035156
2001-11-01,32.10499954223633,110.5066909790039,58.25,55.150001525878906,37.720001220703125
2001-12-01,33.125,115.64053344726562,59.099998474121094,57.54999923706055,36.349998474121094
2002-01-01,31.854999542236328,103.14531707763672,57.5099983215332,59.97999954223633,34.04999923706055
2002-02-01,29.170000076293945,93.80496978759766,60.900001525878906,62.0099983215332,29.25
2002-03-01,30.155000686645508,99.42638397216797,64.94999694824219,61.29999923706055,35.650001525878906
2002-04-01,26.1299991607666,80.07648468017578,63.86000061035156,55.86000061035156,35.099998474121094
2002-05-01,25.454999923706055,76.91204833984375,61.349998474121094,54.099998474121094,35.95000076293945
2002-06-01,27.350000381469727,68.83364868164062,52.2599983215332,55.0099983215332,33.91999816894531
2002-07-01,23.989999771118164,67.30401611328125,52.599998474121094,49.18000030517578,24.959999084472656
2002-08-01,24.540000915527344,72.06501007080078,54.310001373291016,53.47999954223633,26.399999618530273
2002-09-01,21.8700008392334,55.745697021484375,54.08000183105469,49.2400016784668,18.989999771118164
2002-10-01,26.735000610351562,75.46845245361328,58.75,53.54999923706055,20.75
2002-11-01,28.84000015258789,83.0975112915039,57.02000045776367,53.900001525878906,25.170000076293945
2002-12-01,25.850000381469727,74.09178161621094,53.709999084472656,50.5099983215332,24.0
2003-01-01,23.729999542236328,74.76099395751953,53.61000061035156,47.79999923706055,23.34000015258789
2003-02-01,23.700000762939453,74.52198791503906,52.45000076293945,48.060001373291016,22.68000030517578
2003-03-01,24.209999084472656,74.98088073730469,57.869998931884766,52.029998779296875,23.709999084472656
2003-04-01,25.56999969482422,81.16635131835938,56.36000061035156,56.31999969482422,29.350000381469727
2003-05-01,24.610000610351562,84.16825866699219,54.349998474121094,52.61000061035156,32.86000061035156
2003-06-01,25.639999389648438,78.87189483642578,51.70000076293945,53.66999816894531,34.18000030517578
2003-07-01,26.40999984741211,77.67686462402344,51.790000915527344,55.90999984741211,35.04999923706055
2003-08-01,26.520000457763672,78.4034423828125,49.58000183105469,59.16999816894531,34.220001220703125
2003-09-01,27.799999237060547,84.44550323486328,49.52000045776367,55.849998474121094,34.33000183105469
2003-10-01,26.139999389648438,85.54492950439453,50.33000183105469,58.95000076293945,35.900001525878906
2003-11-01,25.709999084472656,86.55831909179688,49.29999923706055,55.63999938964844,35.400001525878906
2003-12-01,27.3700008392334,88.60420989990234,51.65999984741211,53.04999923706055,36.72999954223633
2004-01-01,27.649999618530273,94.86615753173828,53.41999816894531,53.849998474121094,38.88999938964844
2004-02-01,26.530000686645508,92.25621032714844,53.90999984741211,59.560001373291016,41.02000045776367
2004-03-01,24.93000030517578,87.8011474609375,50.720001220703125,59.689998626708984,41.95000076293945
2004-04-01,26.1299991607666,84.29254150390625,54.029998779296875,57.0,37.599998474121094
2004-05-01,26.229999542236328,84.69407653808594,55.709999084472656,55.72999954223633,36.84000015258789
2004-06-01,28.559999465942383,84.27342224121094,55.70000076293945,52.5,38.77000045776367
2004-07-01,28.489999771118164,83.24092102050781,55.27000045776367,53.0099983215332,37.33000183105469
2004-08-01,27.299999237060547,80.96558380126953,58.099998474121094,52.66999816894531,39.58000183105469
2004-09-01,27.649999618530273,81.96940612792969,56.33000183105469,53.20000076293945,39.72999954223633
2004-10-01,27.969999313354492,85.80306243896484,58.380001068115234,53.91999816894531,38.599998474121094
2004-11-01,26.809999465942383,90.0956039428711,60.31999969482422,52.060001373291016,37.650001525878906
2004-12-01,26.719999313354492,94.24474334716797,63.41999816894531,52.81999969482422,39.0099983215332
2005-01-01,26.280000686645508,89.31166076660156,64.69999694824219,52.400001525878906,37.33000183105469
2005-02-01,25.15999984741211,88.50860595703125,65.5999984741211,51.61000061035156,36.54999923706055
2005-03-01,24.170000076293945,87.36137390136719,67.16000366210938,50.11000061035156,34.599998474121094
